,compset_id,hellodata_id,property,comp,lat,lon,zip
167,26375,47de4dd8-1dca-5c20-a224-2877bf02bb8f,Cortland at Twin Creeks,Hidden Creek,33.0975,-96.68636,75013
168,26375,27828d3b-458b-5a48-b54c-0b9087a4bf5f,Cortland at Twin Creeks,Ranch At Ridgeview,33.11249,-96.74795,75025
169,26375,69ddad74-28bb-5481-8be4-52a873950e88,Cortland at Twin Creeks,Knox Allen Station,33.1062,-96.65847,75002
170,99138,3d9efecf-2220-599b-85f6-5a08486918cf,Cortland at Armour Yards,Cortland at Armour Yards,33.81188,-84.37386,30324
171,99138,5366ad64-6015-5844-9554-df4edb064da1,Cortland at Armour Yards,Gables Midtown,33.80809,-84.37497,30324
172,99138,4612d51d-8e54-5ed0-8d3f-11592b7ec6a4,Cortland at Armour Yards,MAA Brookwood,33.81085,-84.39073,30309
173,99138,17abeda0-5f7b-5d94-970a-a783f1f08ad9,Cortland at Armour Yards,The Peninsula at Buckhead,33.82553,-84.36653,30324
174,99138,1e0c04ca-3ce6-553d-bd89-31575bf88728,Cortland at Armour Yards,Willowest in Lindbergh,33.81978,-84.37107,30324
175,99138,f2be7698-9240-5fa8-b511-bd6e00d42ec4,Cortland at Armour Yards,AMLI Piedmont Heights,33.81804,-84.3667,30324
176,99138,9e572997-464f-5733-a7fe-1efb655bbd6e,Cortland at Armour Yards,Core at Lindbergh,33.82293,-84.36425,30324
177,99138,007149b9-e73f-59dc-9571-67676b841dae,Cortland at Armour Yards,Newbergh ATL,33.82229,-84.36187,30324
178,99138,b3660a97-a45b-5d7f-9293-230cb5679fab,Cortland at Armour Yards,Avana Cheshire Bridge,33.81408,-84.35562,30324
179,99138,ae5ea285-8e62-528a-8be1-d19697446261,Cortland at Armour Yards,MAA Peachtree Hills,33.81862,-84.37555,30305
180,99138,eba6f2f5-3ada-501d-95e5-a97d7e812724,Cortland at Armour Yards,Optimist Lofts,33.81266,-84.36564,30324
181,99138,506eeafb-2a93-5c2e-b801-2e2bddf49b37,Cortland at Armour Yards,The Edley Apartments,33.81136,-84.36801,30324
182,62651,8aff0417-7676-58b3-b5d1-0c7c461409d2,Cortland Portofino Place,Cortland Portofino Place,26.74183,-80.10922,33409
183,62651,c335f976-5f53-56d4-a265-5cf01799b38a,Cortland Portofino Place,Locklyn West Palm,26.75289,-80.09314,33407
184,62651,8067fb7f-59e2-5811-88cd-a5a2def63b61,Cortland Portofino Place,Cameron Estates,26.72102,-80.07974,33401
185,62651,67de0ff5-ffc9-5f72-8183-5863fd5ad6c3,Cortland Portofino Place,Riverstone Palm Beach,26.75618,-80.0891,33407
186,62651,9215406b-5a21-5524-bba6-5f2db71d9f08,Cortland Portofino Place,VISTA LAGO,26.72416,-80.14963,33411
187,62651,ce5d4bd3-68f9-53c1-ba4e-a21eab6b2489,Cortland Portofino Place,Vue at 1400,26.72321,-80.10132,33409
188,62651,a5847ab5-5c81-542e-a3d4-1ff418ee3566,Cortland Portofino Place,The Point at Palm Beach Grove,26.70646,-80.1586,33411
189,62650,dcbdd5e9-7d60-58ed-bd77-ad7866782d90,Cortland West Palm,Cortland West Palm,26.71585,-80.08333,33401
190,62650,c335f976-5f53-56d4-a265-5cf01799b38a,Cortland West Palm,Locklyn West Palm,26.75289,-80.09314,33407
191,62650,8067fb7f-59e2-5811-88cd-a5a2def63b61,Cortland West Palm,Cameron Estates,26.72102,-80.07974,33401
192,62650,e317c010-37e6-5c56-8dfb-d9ff16a594b1,Cortland West Palm,Indigo West Palm Beach,26.69461,-80.07428,33401
193,62650,67de0ff5-ffc9-5f72-8183-5863fd5ad6c3,Cortland West Palm,Riverstone Palm Beach,26.75618,-80.0891,33407
194,62650,fed2a41e-4b65-557c-8a1b-1a0d623ca7af,Cortland West Palm,Alora West Palm Beach,26.71376,-80.11813,33417
195,62650,2deec1aa-af56-57b8-8a4b-b02e2fe324dd,Cortland West Palm,The Grand,26.71556,-80.05761,33401
196,62650,91a6924d-e0c0-579f-9db0-fff1cde39626,Cortland West Palm,Fairway Vista,26.72814,-80.09296,33409
197,62650,ae17191a-3f69-54d9-8ee2-acf88ef7b41d,Cortland West Palm,Inscription West Palm Beach,26.73301,-80.08437,33401
198,62648,93489781-3775-50b4-ae63-199cf6804b27,Cortland West Boynton,Cortland West Boynton,26.52487,-80.16987,33437
199,62648,ce20b032-4748-55c8-be0c-a53699aaf9b7,Cortland West Boynton,ARIUM Boynton Beach,26.5271,-80.15,33437
200,62648,00cb505e-8517-57fb-93fe-e5f45a451188,Cortland West Boynton,Boynton Place Apartments,26.52735,-80.13367,33437
201,62648,158301e1-4532-540d-babe-949b9c6cf3ce,Cortland West Boynton,Latitude Pointe,26.52968,-80.10717,33436
202,62648,5ab3232b-28b9-551a-8b4a-127a86f703bc,Cortland West Boynton,Sea Lofts at Boynton Village,26.53374,-80.08579,33426
203,62648,e7f9f4d5-e01c-50da-ae59-38b1b5f56c58,Cortland West Boynton,Pacifica,26.53801,-80.08857,33426
204,62648,edbf1dcd-3ae0-5f09-bae0-31e781b27ab5,Cortland West Boynton,One Boynton,26.51548,-80.05926,33435
205,62364,2add1b70-84c9-5410-bbe3-774a1f8b0db3,Cortland Uptown Boca,Cortland Uptown Boca,26.3652,-80.19763,33428
206,62364,8be8f5fc-f14b-5c48-8285-8064b4e4d5bb,Cortland Uptown Boca,Boca Vue,26.34094,-80.18972,33428
