hellodata_id,hellodata_property,oslPropertyID,ParentAssetName
c6baafb6-025b-5b9a-a89a-381cbff9c098,Cortland South End,5209198,Cortland South End
cc5e5599-d8e5-5117-8ad8-a66e208e9911,Cortland Wren Northlake,5213393,Cortland Wren Northlake
e04d5835-e76d-5682-bc1f-206961bcaff5,Cortland Southpark Terraces,5219223,Cortland Southpark Terraces
c562d284-4107-5386-9130-a2ed87f4382b,Cortland on McKinney,5277493,Cortland on McKinney
d73820cc-32a3-5cdc-95a5-839f4ac5ebc6,Cortland Harbour Cove,5345695,Cortland Harbour Cove
d1f8a508-b70c-5edc-b19a-eed9c5475636,Cortland at Castle Hills,5354127,Cortland at Castle Hills
6bea953b-57f1-5372-8e9f-b43fa90f8cd0,Cortland River Oaks,5359327,Cortland River Oaks
9844501a-d44a-51bf-a20d-6321eefed532,Cortland at National Landing,5368796,Cortland at National Landing
db82e421-9806-5305-a3db-6f4c1bab31af,Cortland Peachtree Battle,5383437,Cortland Peachtree Battle
cbcf0f11-2592-59cb-98db-9fa2cb28695b,Cortland at Stonebriar,5388966,Cortland at Stonebriar
150f6524-7413-5c3d-8b4a-c56c4a5a158d,Cortland Museum District,5392847,Cortland Museum District
56ba6764-532f-597d-9c35-20986caefba2,Cortland Belmar,5394506,Cortland Belmar
d56dd985-0785-5747-8b66-2b6ef013eea1,The Springs at Peachtree Corners,5397692,The Springs at Peachtree Corners
88790c6f-57d8-588d-81e1-12fe9557b1a2,Cambridge at Hickory Hollow,5409842,Cambridge at Hickory Hollow
9c630651-66e2-5ef4-8316-418974c677c0,Cortland Woodlands,5409845,Cortland Woodlands
8f1253d9-b5ce-5217-8fc8-a4278da8073c,Cortland Lakecrest,5439648,Cortland Lakecrest
80cf1eb3-493a-5190-9a9d-b9f398570ccf,Cortland Glenwood South,5468228,Cortland Glenwood South
3b4701ea-9946-5992-b66d-28cdf6f5fb12,Cortland Royal Palm Beach,5468286,Cortland Royal Palm Beach
15815121-fb6c-5240-9e65-4a64314162d4,Cortland Peterson,5481862,Cortland Peterson
b71072bd-762c-52e9-b822-07b54a153ea0,Cortland at Buckhead Village,5483517,Cortland at Buckhead Village
3d9efecf-2220-599b-85f6-5a08486918cf,Cortland at Armour Yards,5484718,Cortland at Armour Yards
